NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.8,NaN,NaN,NaN,32.192,33.198,NaN,NaN,NaN,32.706,NaN,NaN,NaN,31.834,NaN,32.592,NaN,NaN,NaN,33.361,NaN,NaN,NaN,NaN,33.569,NaN,NaN,NaN,33.425,NaN,NaN,33.835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.414,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.123,NaN,32.558,NaN,NaN,32.699,NaN,NaN,NaN,32.283,NaN,NaN,NaN,32.397,NaN,32.988,NaN,NaN,NaN,33.43,32.631,NaN,NaN,NaN,33.19,NaN,32.076,NaN,33.587,33.517,33.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.642,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,32.798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.988,NaN,NaN,NaN,NaN,NaN,32.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.3,NaN,NaN,NaN,33.572,32.93,33.596,33.336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.66,NaN,NaN,NaN,NaN,33.588,NaN,NaN,NaN,NaN
NaN,33.32,NaN,NaN,NaN,NaN,NaN,32.936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.987,NaN,NaN,NaN,NaN,NaN,32.752,NaN,NaN,NaN,33.794,NaN,NaN,NaN,NaN,33.514,32.842,NaN,NaN,33.599,33.402,33.342,32.955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.65,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.708,NaN,NaN,NaN,NaN,NaN,NaN,32.591,NaN,NaN,NaN,NaN,NaN,32.639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.437,NaN,NaN,NaN,33.479,33.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.463,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,33.472,NaN,NaN,NaN,NaN,NaN,NaN,33.073,NaN,NaN,NaN,32.966,NaN,NaN,NaN,32.942,NaN,33.259,NaN,NaN,NaN,33.705,NaN,NaN,NaN,NaN,33.42,NaN,NaN,NaN,33.537,33.146,33.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.422,NaN,NaN,33.857,NaN,33.701,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,33.643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.65,NaN,NaN,NaN,NaN,NaN,32.757,NaN,NaN,NaN,33.301,NaN,NaN,NaN,NaN,33.342,NaN,NaN,NaN,33.582,32.795,33.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.995,NaN,NaN,NaN,NaN,33.47,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.998,NaN,32.381,NaN,NaN,33.16,NaN,32.803,NaN,32.729,NaN,NaN,NaN,NaN,NaN,33.043,NaN,NaN,NaN,33.792,NaN,NaN,32.429,NaN,NaN,NaN,31.549,NaN,33.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.583,NaN,NaN,NaN,NaN
NaN,NaN,NaN,32.418,NaN,32.723,NaN,32.029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.825,NaN,NaN,NaN,NaN,NaN,32.647,32.386,NaN,NaN,33.897,NaN,NaN,32.519,NaN,NaN,NaN,31.686,NaN,33.731,NaN,33.385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.901,NaN,NaN,NaN,NaN,33.529,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.917,NaN,31.753,NaN,NaN,32.484,NaN,32.256,NaN,32.678,NaN,NaN,NaN,NaN,NaN,32.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.72,NaN,33.488,NaN,NaN,NaN,33.459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.088,NaN,NaN,33.614,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,33.014,NaN,32.452,NaN,NaN,NaN,NaN,NaN,NaN,32.649,NaN,32.926,NaN,NaN,NaN,32.201,NaN,32.648,NaN,NaN,NaN,NaN,NaN,32.234,31.954,NaN,33.607,NaN,32.451,32.681,33.408,NaN,33.383,NaN,33.407,NaN,NaN,32.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.87,NaN,NaN,NaN,NaN,33.654,NaN,NaN,NaN,NaN
NaN,NaN,NaN,31.524,31.531,NaN,NaN,31.872,NaN,32.074,NaN,NaN,32.418,NaN,31.937,NaN,32.425,NaN,NaN,NaN,32.203,NaN,32.543,NaN,NaN,NaN,NaN,NaN,NaN,32.016,NaN,33.138,NaN,NaN,NaN,33.07,33.028,33.221,NaN,33.314,NaN,31.594,32.317,31.784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.604,NaN,NaN,NaN,NaN,33.784,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,33.159,NaN,NaN,NaN,NaN,NaN,NaN,32.575,NaN,33.164,NaN,32.539,NaN,NaN,NaN,33.385,NaN,32.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.451,NaN,32.146,NaN,33.357,33.106,NaN,NaN,33.348,NaN,NaN,NaN,32.577,34.067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.676,NaN,33.941,33.766,NaN,NaN,NaN,NaN,33.548,NaN,NaN,NaN,NaN
NaN,NaN,NaN,32.045,NaN,32.601,NaN,32.373,NaN,32.283,NaN,NaN,NaN,32.428,33.096,NaN,32.587,NaN,NaN,NaN,32.076,NaN,32.558,NaN,NaN,NaN,NaN,NaN,NaN,32.125,NaN,33.395,NaN,32.56,NaN,33.128,NaN,NaN,33.099,NaN,NaN,NaN,NaN,32.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.602,NaN,33.885,33.909,NaN,NaN,NaN,NaN,33.747,NaN,NaN,NaN,NaN
NaN,33.446,NaN,NaN,NaN,33.135,NaN,31.886,NaN,32.028,NaN,NaN,32.157,32.438,32.424,NaN,32.412,NaN,NaN,NaN,32.201,NaN,32.697,NaN,NaN,NaN,NaN,31.717,NaN,32.07,NaN,33.462,NaN,31.476,NaN,33.25,NaN,NaN,33.516,33.362,NaN,NaN,33.339,31.958,33.96,NaN,NaN,33.89,NaN,NaN,NaN,NaN,NaN,NaN,33.671,NaN,33.92,33.65,NaN,NaN,NaN,NaN,33.748,33.146,NaN,NaN,NaN
NaN,33.707,NaN,NaN,NaN,32.802,NaN,31.576,NaN,32.524,NaN,NaN,32.67,32.615,32.405,NaN,32.7,NaN,NaN,NaN,32.776,NaN,32.765,NaN,NaN,NaN,33.549,33.369,31.899,31.929,NaN,33.903,32.063,31.915,NaN,33.398,33.385,33.92,33.908,NaN,NaN,NaN,32.957,32.48,NaN,NaN,NaN,NaN,NaN,NaN,33.456,NaN,NaN,NaN,34.207,NaN,33.955,34.519,NaN,NaN,NaN,NaN,33.757,34.067,NaN,NaN,33.718
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,33.082,NaN,NaN,NaN,33.064,NaN,32.301,NaN,32.411,NaN,32.48,32.57,32.504,32.731,NaN,32.557,NaN,NaN,NaN,32.847,NaN,32.644,NaN,NaN,NaN,NaN,32.673,32.497,32.539,NaN,33.57,NaN,31.468,NaN,33.374,33.642,33.581,33.71,NaN,NaN,NaN,33.245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.797,33.672,NaN,NaN,NaN,NaN,33.662,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,33.922,NaN,32.453,32.061,NaN,NaN,32.319,NaN,32.268,NaN,NaN,32.535,33.579,NaN,NaN,32.856,NaN,NaN,NaN,32.701,NaN,32.854,NaN,NaN,NaN,34.233,33.295,NaN,32.229,NaN,33.796,NaN,NaN,NaN,33.355,NaN,33.542,NaN,NaN,NaN,NaN,32.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.992,33.082,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,32.776,NaN,NaN,NaN,32.705,NaN,32.653,NaN,32.667,NaN,32.33,32.992,32.066,NaN,NaN,32.567,NaN,NaN,NaN,32.671,NaN,32.8,NaN,NaN,NaN,33.418,32.804,NaN,32.173,NaN,33.42,NaN,NaN,NaN,33.018,NaN,33.215,NaN,NaN,NaN,NaN,32.803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.409,NaN,33.799,33.845,NaN,NaN,NaN,NaN,33.683,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,33.139,NaN,32.118,32.473,32.638,NaN,32.098,NaN,32.335,NaN,NaN,32.874,33.106,32.653,NaN,32.746,NaN,NaN,NaN,32.292,NaN,32.748,NaN,NaN,NaN,33.913,32.573,NaN,32.515,NaN,NaN,NaN,31.834,NaN,33.403,NaN,33.658,33.62,NaN,NaN,NaN,32.424,NaN,NaN,NaN,NaN,34.121,NaN,34.283,NaN,NaN,NaN,NaN,33.565,NaN,33.945,33.642,NaN,NaN,NaN,NaN,33.614,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
